clean_input,label,intent
hello quick question,11,greeting
hello want to check shirt price,11,greeting
hey i want to shop,11,greeting
good afternoon i am looking for trousers,11,greeting
good morning,11,greeting
hi i am looking for palazzo for girls,11,greeting
good afternoon need anarkali,11,greeting
hi i am looking for jacket for girls,11,greeting
hiya,11,greeting
hey do you help with dress selection,11,greeting
hello need help with dress,11,greeting
good morning i am looking for lehenga,11,greeting
hey searching for jeans for gents,11,greeting
hi team i need anarkali,11,greeting
good afternoon looking for m anarkali,11,greeting
good morning want to buy pink salwar,11,greeting
hi i am looking for tshirt for men,11,greeting
hi i want to shop,11,greeting
hi team i need top,11,greeting
good morning want to buy beige sherwani,11,greeting
hey can you help me,11,greeting
hello want to check kurta price,11,greeting
good afternoon looking for 28 anarkali,11,greeting
hello need white shirt in s,11,greeting
hello can anyone assist me with jeans,11,greeting
good evening i want dress,11,greeting
hey support quick query about hoodie,11,greeting
hi need help with dhoti,11,greeting
hey quick question about trousers,11,greeting
hello can anyone assist me with top,11,greeting
hey anyone there,11,greeting
hello i am looking for lehenga,11,greeting
hey i want to buy trousers,11,greeting
hi can you help me,11,greeting
hi team i need palazzo,11,greeting
sup,11,greeting
hi need help choosing dress,11,greeting
hi looking for purple kurta,11,greeting
ello,11,greeting
good morning looking for palazzo,11,greeting
hey need 2xl size dhoti,11,greeting
hey i want to buy palazzo,11,greeting
hello need teal kurti in l,11,greeting
hey need 3xl size saree,11,greeting
hello i am looking for churidar,11,greeting
hello anyone there,11,greeting
hi i want to buy palazzo,11,greeting
hey do you help with sherwani selection,11,greeting
good afternoon need tshirt,11,greeting
good morning want to buy brown palazzo,11,greeting
hi i am looking for salwar for kids,11,greeting
hi i am looking for shirt for men,11,greeting
hello i need help,11,greeting
hi there,11,greeting
hello want to check jeans price,11,greeting
good evening i want anarkali,11,greeting
hello support i want shirt,11,greeting
hi is this the right place to buy sherwani,11,greeting
hey do you help with top selection,11,greeting
hi is this the right place to buy jacket,11,greeting
hello i want to shop,11,greeting
hi want lehenga for women,11,greeting
can someone help,11,greeting
good morning looking for jeans,11,greeting
hello want to check salwar price,11,greeting
hi,11,greeting
hi i want to buy churidar,11,greeting
good evening i want hoodie,11,greeting
hi i want to buy kurti,11,greeting
hey quick question about jacket,11,greeting
hey do you help with anarkali selection,11,greeting
hello need help with tshirt,11,greeting
hey i need help,11,greeting
hello need white saree in 42,11,greeting
hello i want to buy palazzo,11,greeting
good morning looking for salwar,11,greeting
hello want to check hoodie price,11,greeting
hello want to check saree price,11,greeting
good morning i am looking for palazzo,11,greeting
hey quick question about sherwani,11,greeting
hello can anyone assist me with dhoti,11,greeting
hi team i need dress,11,greeting
heyy,11,greeting
good evening i want palazzo,11,greeting
hi anyone there,11,greeting
