input,intent,response,title
hello quick question,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hello want to check shirt price,greeting,Welcome! We have a great collection of Indian and Western wear.,Greeting
hey I want to shop,greeting,Good to have you here. What can I help you with?,Greeting
good afternoon I am looking for trousers,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
good morning,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hi I am looking for palazzo for girls,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
good afternoon need anarkali,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
hi I am looking for jacket for girls,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hiya,greeting,Welcome! We have a great collection of Indian and Western wear.,Greeting
hey do you help with dress selection,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hello need help with dress,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
good morning I am looking for lehenga,greeting,Welcome to our store! Browse our collection from Rs.299 to Rs.2999.,Greeting
hey searching for jeans for gents,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
hi team I need anarkali,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
good afternoon looking for M anarkali,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
good morning want to buy pink salwar,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
hi I am looking for t-shirt for men,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hi I want to shop,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hi team I need top,greeting,Welcome! We have a great collection of Indian and Western wear.,Greeting
good morning want to buy beige sherwani,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hey can you help me,greeting,Welcome! We have a great collection of Indian and Western wear.,Greeting
hello want to check kurta price,greeting,Hi! What brings you here today? I am here to assist.,Greeting
good afternoon looking for 28 anarkali,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hello need white shirt in S,greeting,Welcome to our store! Browse our collection from Rs.299 to Rs.2999.,Greeting
hello can anyone assist me with jeans,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
good evening I want dress,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hey support quick query about hoodie,greeting,Hi! What brings you here today? I am here to assist.,Greeting
hi need help with dhoti,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hey quick question about trousers,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
hello can anyone assist me with top,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hey anyone there,greeting,Hi! What brings you here today? I am here to assist.,Greeting
hello I am looking for lehenga,greeting,Welcome! We have a great collection of Indian and Western wear.,Greeting
hey I want to buy trousers,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
hi can you help me,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
hi team I need palazzo,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
sup,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
hi need help choosing dress,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
hi looking for purple kurta,greeting,Hi! What brings you here today? I am here to assist.,Greeting
ello,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
good morning looking for palazzo,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
hey need 2XL size dhoti,greeting,Welcome to our store! Browse our collection from Rs.299 to Rs.2999.,Greeting
hey I want to buy palazzo,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
hello need teal kurti in L,greeting,Welcome to our store! Browse our collection from Rs.299 to Rs.2999.,Greeting
hey need 3XL size saree,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hello I am looking for churidar,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
hello anyone there,greeting,Hi! What brings you here today? I am here to assist.,Greeting
hi I want to buy palazzo,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
hey do you help with sherwani selection,greeting,Good to have you here. What can I help you with?,Greeting
good afternoon need t-shirt,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
good morning want to buy brown palazzo,greeting,Hi! What brings you here today? I am here to assist.,Greeting
hi I am looking for salwar for kids,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
hi I am looking for shirt for men,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
hello I need help,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
hi there,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
hello want to check jeans price,greeting,Hi! What brings you here today? I am here to assist.,Greeting
good evening I want anarkali,greeting,Welcome! We have a great collection of Indian and Western wear.,Greeting
hello support I want shirt,greeting,Hi! What brings you here today? I am here to assist.,Greeting
hi is this the right place to buy sherwani,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
hey do you help with top selection,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
hi is this the right place to buy jacket,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
hello I want to shop,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
hi want lehenga for women,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
can someone help,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
good morning looking for jeans,greeting,Hi! What brings you here today? I am here to assist.,Greeting
hello want to check salwar price,greeting,Hi! What brings you here today? I am here to assist.,Greeting
hi,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hi I want to buy churidar,greeting,Hi! What brings you here today? I am here to assist.,Greeting
good evening I want hoodie,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
hi I want to buy kurti,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
hey quick question about jacket,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hey do you help with anarkali selection,greeting,Hi! What brings you here today? I am here to assist.,Greeting
hello need help with t-shirt,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hey I need help,greeting,Good to have you here. What can I help you with?,Greeting
hello need white saree in 42,greeting,Good to have you here. What can I help you with?,Greeting
