input,intent,response,title
do u have this in black,availability_check,black is available in most sizes,Stock Availability
fastest delivery,delivery_query,we ship all over india! what's your city?,Delivery Information
can you tell me do you have t-shirts need to know,product_inquiry,lots of new stuff in! what kind of clothing do you need?,Product Inquiry
hey do u have this in black right now,availability_check,let me check which color and size?,Stock Availability
wanted to know ordr delivered urgent,order_status,refund processed in 57 days after we receive the item,Order Support
year round available,availability_check,"that color is currently out of stock, restock in 7 days",Stock Availability
children's clothing rate,price_inquiry,yes we have stuff under rs. 500 want me to show you?,Price Related Query
so signature required on delivery thank you,delivery_query,delivery depends on your pin code. what's your location?,Delivery Information
hi there anyone,greeting,hi there! what are you looking for?,Greeting
hello ji,greeting,hi! how can we help you today?,Greeting
size 9 shoes,size_inquiry,size m is available. what product do you need it for?,Size Inquiry
wanted to know hello??,greeting,hi what's up? how can i assist?,Greeting
do you know if same day delivery right now,delivery_query,free delivery on orders above rs. 999,Delivery Information
bro got l size? ?,size_inquiry,size m is available. what product do you need it for?,Size Inquiry
hi courier did not come...,order_status,"yes, orders are dispatched in 24 hrs. share id to track",Order Support
please how much does it cost today,price_inquiry,kurtas range rs. 599rs. 2499 depending on design,Price Related Query
price of this shirt,price_inquiry,yes we have budget options! starting from rs. 299,Price Related Query
quick question will order later pls,goodbye,bye! we're always here if you need us,Goodbye
relaxed fit jeans,size_inquiry,"yes, that size is available! which item?",Size Inquiry
yo sup ?,greeting,hi there! what are you looking for?,Greeting
pan india delivery,delivery_query,we use trusted couriers delhivery bluedart dtdc,Delivery Query
i wanted to ask hey i'm interested in buying please,greeting,hey! we're here. ask away!,Greeting
wondering if tie cost right now,price_inquiry,yes we have stuff under rs. 500 want me to show you?,Price Related Query
palazzo pants,product_inquiry,we've got a great range! what specifically are you looking for?,Product Inquiry
someone told me colourfast right now,material_inquiry,it's linen perfect for summer!,Material Inquiry
blue shirt available,availability_check,let me check! which product and color?,Availability Check
also morning,greeting,hi what's up? how can i assist?,Greeting
tell me about your collection,product_inquiry,"yes! we carry men's, women's kids' clothing. what are you looking for?",Product Inquiry
last piece,availability_check,restocking this week. want me to notify you?,Stock Availability
just asking helo pls,greeting,hello! welcome what can i do for you?,Greeting
how much?,price_inquiry,yes we have stuff under rs. 500 want me to show you?,Price Related Query
i wanted to ask ombre shade quickly,availability_check,"yes, available right now!",Stock Availability
pls bye bro,goodbye,thanks for visiting! see you soon,Goodbye
how much does it cost,price_inquiry,free delivery on orders above rs. 999,Price Related Query
i wanted to ask i received torn item please,order_status,we'll raise it with the courier. please share order id,Order Support
express shipping,delivery_query,yes we deliver there! 35 days estimated,Delivery Information
yo do u have duplicatespls,availability_check,"limited stock remaining, better order soon!",Stock Availability
is it good for hot weather,material_inquiry,"yes pure cotton, breathable skin friendly",Material Inquiry
quick q bro price kya hai urgent,price_inquiry,price depends on the item. which one are you asking about?,Price Related Query
shipping time right now,delivery_query,you'll get a tracking link once dispatched,Delivery Information
hey is it anti-odor,material_inquiry,"made of soft cotton, very comfortable for daily wear",Material Inquiry
do u have duplicates,availability_check,in stock! which size do you need?,Stock Availability
i heard that purchase shows delivered but not recieved thanks,order_status,share your order number and we'll track it for you,Order Support
new collection,product_inquiry,"we sell tops, tees, jeans, kurtas, dresses more. what do you need?",Product Inquiry
kurta size m available today,size_inquiry,xl is in stock! want to order?,Size Inquiry
also how much for 2 pieces bro,price_inquiry,free delivery on orders above rs. 999,Price Related Query
i wanted to ask uv protection fabrc pls,material_inquiry,"yes pure cotton, breathable skin friendly",Material Inquiry
wondering if size guide please asap,size_inquiry,xl is in stock! want to order?,Size Inquiry
what's in stock??,product_inquiry,"yes! we carry men's, women's kids' clothing. what are you looking for?",Product Inquiry
wanted to know kids size 6 years quickly,size_inquiry,"yes, that size is available! which item?",Size Inquiry
quick q what cotton ji,material_inquiry,it's 100 cotton fabric,Material Inquiry
do you have this,availability_check,"yes, available right now!",Stock Availability
so chennai delivery,delivery_query,we ship all over india! what's your city?,Delivery Information
delivery charges kya hai,delivery_query,we use trusted couriers delhivery bluedart dtdc,Delivery Query
hi yo what's good,greeting,hey! how can i help you?,Greeting
just asking show me tops ?,product_inquiry,"yes, lots of options! what category are you interested in?",Product Inquiry
alright bye,goodbye,bye! come back anytime,Goodbye
can u tell me any xs?pls,size_inquiry,which product? i'll check the size for you,Size Inquiry
actually urgent delvery if possible,delivery_query,delivery in 35 working days,Delivery Information
ok got it bye,goodbye,bye come back anytime,Goodbye
so xl finished need to know,size_inquiry,let me check the size for you which item are you looking at?,Size Inquiry
hi silky feel? asap,material_inquiry,cotton-polyester blend. good quality!,Material Inquiry
bro bye if possible,goodbye,thank you! happy shopping,Goodbye
hello is this the store,greeting,hello! welcome what can i do for you?,Greeting
hi can you assist me?,greeting,hi there! what are you looking for?,Greeting
is it true that hi asap,greeting,hi there! what are you looking for?,Greeting
size chart,size_inquiry,yes we have that size! which product?,Size Inquiry
i wanted to ask fast selling item quickly,availability_check,"yes, available right now!",Stock Availability
is it comfortable,material_inquiry,it's 100 cotton fabric,Material Inquiry
fabric type,material_inquiry,"yes pure cotton, breathable skin friendly",Material Inquiry
delivery cost? urgent,delivery_query,we ship all over india! what's your city?,Delivery Information
wrong address order,order_status,please share a photo order id for damagedwrong item,Order Support
